id,city,country,region,latitude,longitude,short_description,annual_avg_c,warmest_monthly_avg_c,coldest_monthly_avg_c,seasonal_range_c,climate_profile,seasonal_variation,warm_months_tag,cool_months_tag,cold_months_tag,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,experience_tags,weather_text,final_document
c54acf38-3029-496b-8c7a-8343ad82785c,Milan,Italy,europe,45.4641943,9.1896346,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration.",14.8,25.8,3.7,22.1,cool to mild climate,strong seasonal variation,"June, July, August","March, April, November","January, February, December",Luxury,5,2,2,1,4,5,3,5,2,"culture, nightlife, cuisine, urban","This destination has a cool to mild climate with strong seasonal variation. The annual average temperature is 14.8°C, with monthly averages ranging from 3.7°C to 25.8°C. January is very cold with an average temperature of 3.7°C, highs around 7.8°C and lows around 0.4°C February is very cold with an average temperature of 7.1°C, highs around 12.0°C and lows around 2.8°C March is cool with an average temperature of 10.5°C, highs around 15.5°C and lows around 5.5°C April is cool with an average temperature of 13.8°C, highs around 18.9°C and lows around 8.7°C May is mild with an average temperature of 17.9°C, highs around 22.5°C and lows around 13.4°C June is warm with an average temperature of 23.5°C, highs around 28.5°C and lows around 18.1°C July is warm with an average temperature of 25.8°C, highs around 30.8°C and lows around 20.5°C August is warm with an average temperature of 25.2°C, highs around 30.4°C and lows around 20.2°C September is mild with an average temperature of 20.8°C, highs around 26.0°C and lows around 16.1°C October is mild with an average temperature of 15.2°C, highs around 19.6°C and lows around 11.5°C November is cool with an average temperature of 8.8°C, highs around 12.5°C and lows around 5.6°C December is very cold with an average temperature of 4.7°C, highs around 8.2°C and lows around 1.9°C","Milan is a travel destination in Italy. It is located in the europe region. Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration. It is especially associated with culture, nightlife, cuisine, urban. This destination has a cool to mild climate with strong seasonal variation. The annual average temperature is 14.8°C, with monthly averages ranging from 3.7°C to 25.8°C. January is very cold with an average temperature of 3.7°C, highs around 7.8°C and lows around 0.4°C February is very cold with an average temperature of 7.1°C, highs around 12.0°C and lows around 2.8°C March is cool with an average temperature of 10.5°C, highs around 15.5°C and lows around 5.5°C April is cool with an average temperature of 13.8°C, highs around 18.9°C and lows around 8.7°C May is mild with an average temperature of 17.9°C, highs around 22.5°C and lows around 13.4°C June is warm with an average temperature of 23.5°C, highs around 28.5°C and lows around 18.1°C July is warm with an average temperature of 25.8°C, highs around 30.8°C and lows around 20.5°C August is warm with an average temperature of 25.2°C, highs around 30.4°C and lows around 20.2°C September is mild with an average temperature of 20.8°C, highs around 26.0°C and lows around 16.1°C October is mild with an average temperature of 15.2°C, highs around 19.6°C and lows around 11.5°C November is cool with an average temperature of 8.8°C, highs around 12.5°C and lows around 5.6°C December is very cold with an average temperature of 4.7°C, highs around 8.2°C and lows around 1.9°C"
0bd12654-ed64-424e-a044-7bc574bcf078,Yasawa Islands,Fiji,oceania,-17.2909471,177.12578580330327,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty.",27.0,28.2,25.5,2.7,consistently warm to hot climate,little seasonal variation,"January, February, March, April, May, June",,,Luxury,2,4,5,5,2,3,4,1,5,"adventure, nature, beaches, wellness, seclusion","This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 27.0°C, with monthly averages ranging from 25.5°C to 28.2°C. January is hot with an average temperature of 28.0°C, highs around 30.8°C and lows around 25.8°C February is hot with an average temperature of 28.0°C, highs around 31.1°C and lows around 25.6°C March is warm with an average temperature of 26.9°C, highs around 31.0°C and lows around 22.8°C April is hot with an average temperature of 28.0°C, highs around 31.7°C and lows around 26.0°C May is warm with an average temperature of 27.4°C, highs around 31.0°C and lows around 23.1°C June is warm with an average temperature of 26.2°C, highs around 29.7°C and lows around 23.7°C July is warm with an average temperature of 26.1°C, highs around 29.6°C and lows around 23.6°C August is warm with an average temperature of 25.5°C, highs around 29.1°C and lows around 23.7°C September is warm with an average temperature of 26.3°C, highs around 30.4°C and lows around 24.5°C October is warm with an average temperature of 26.0°C, highs around 30.5°C and lows around 19.0°C November is warm with an average temperature of 27.1°C, highs around 31.0°C and lows around 24.8°C December is hot with an average temperature of 28.2°C, highs around 31.9°C and lows around 26.0°C","Yasawa Islands is a travel destination in Fiji. It is located in the oceania region. Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty. It is especially associated with adventure, nature, beaches, wellness, seclusion. This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 27.0°C, with monthly averages ranging from 25.5°C to 28.2°C. January is hot with an average temperature of 28.0°C, highs around 30.8°C and lows around 25.8°C February is hot with an average temperature of 28.0°C, highs around 31.1°C and lows around 25.6°C March is warm with an average temperature of 26.9°C, highs around 31.0°C and lows around 22.8°C April is hot with an average temperature of 28.0°C, highs around 31.7°C and lows around 26.0°C May is warm with an average temperature of 27.4°C, highs around 31.0°C and lows around 23.1°C June is warm with an average temperature of 26.2°C, highs around 29.7°C and lows around 23.7°C July is warm with an average temperature of 26.1°C, highs around 29.6°C and lows around 23.6°C August is warm with an average temperature of 25.5°C, highs around 29.1°C and lows around 23.7°C September is warm with an average temperature of 26.3°C, highs around 30.4°C and lows around 24.5°C October is warm with an average temperature of 26.0°C, highs around 30.5°C and lows around 19.0°C November is warm with an average temperature of 27.1°C, highs around 31.0°C and lows around 24.8°C December is hot with an average temperature of 28.2°C, highs around 31.9°C and lows around 26.0°C"
73036cda-9134-46fc-a2c6-807782d59dfb,Whistler,Canada,north_america,50.1171903,-122.9543022,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air.",6.8,18.2,-2.5,20.7,cold climate,strong seasonal variation,,"May, June, September","January, February, March, April, October, November",Luxury,3,5,5,2,3,3,4,2,4,"adventure, nature, wellness, seclusion","This destination has a cold climate with strong seasonal variation. The annual average temperature is 6.8°C, with monthly averages ranging from -2.5°C to 18.2°C. January is freezing with an average temperature of -2.5°C, highs around 0.4°C and lows around -5.5°C February is freezing with an average temperature of -1.8°C, highs around 0.8°C and lows around -7.2°C March is very cold with an average temperature of 0.2°C, highs around 3.5°C and lows around -5.0°C April is very cold with an average temperature of 4.6°C, highs around 9.1°C and lows around -0.6°C May is cool with an average temperature of 9.0°C, highs around 14.4°C and lows around 3.4°C June is cool with an average temperature of 14.1°C, highs around 18.8°C and lows around 9.1°C July is mild with an average temperature of 18.2°C, highs around 23.2°C and lows around 13.0°C August is mild with an average temperature of 17.8°C, highs around 23.3°C and lows around 12.8°C September is cool with an average temperature of 14.5°C, highs around 19.3°C and lows around 9.9°C October is very cold with an average temperature of 7.6°C, highs around 11.6°C and lows around 4.4°C November is very cold with an average temperature of 1.8°C, highs around 5.1°C and lows around -1.6°C December is freezing with an average temperature of -1.8°C, highs around 0.9°C and lows around -2.5°C","Whistler is a travel destination in Canada. It is located in the north_america region. Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air. It is especially associated with adventure, nature, wellness, seclusion. This destination has a cold climate with strong seasonal variation. The annual average temperature is 6.8°C, with monthly averages ranging from -2.5°C to 18.2°C. January is freezing with an average temperature of -2.5°C, highs around 0.4°C and lows around -5.5°C February is freezing with an average temperature of -1.8°C, highs around 0.8°C and lows around -7.2°C March is very cold with an average temperature of 0.2°C, highs around 3.5°C and lows around -5.0°C April is very cold with an average temperature of 4.6°C, highs around 9.1°C and lows around -0.6°C May is cool with an average temperature of 9.0°C, highs around 14.4°C and lows around 3.4°C June is cool with an average temperature of 14.1°C, highs around 18.8°C and lows around 9.1°C July is mild with an average temperature of 18.2°C, highs around 23.2°C and lows around 13.0°C August is mild with an average temperature of 17.8°C, highs around 23.3°C and lows around 12.8°C September is cool with an average temperature of 14.5°C, highs around 19.3°C and lows around 9.9°C October is very cold with an average temperature of 7.6°C, highs around 11.6°C and lows around 4.4°C November is very cold with an average temperature of 1.8°C, highs around 5.1°C and lows around -1.6°C December is freezing with an average temperature of -1.8°C, highs around 0.9°C and lows around -2.5°C"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,Guanajuato,Mexico,north_america,20.9876996,-101.0,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.",19.5,23.3,14.9,8.4,generally mild to warm climate,moderate seasonal variation,"April, May, June",December,,Mid-range,5,3,3,1,3,4,3,4,2,"culture, cuisine, urban","This destination has a generally mild to warm climate with moderate seasonal variation. The annual average temperature is 19.5°C, with monthly averages ranging from 14.9°C to 23.3°C. January is mild with an average temperature of 15.5°C, highs around 22.8°C and lows around 8.7°C February is mild with an average temperature of 17.2°C, highs around 25.6°C and lows around 9.5°C March is mild with an average temperature of 20.3°C, highs around 29.3°C and lows around 12.2°C April is warm with an average temperature of 23.1°C, highs around 31.8°C and lows around 13.1°C May is warm with an average temperature of 23.3°C, highs around 31.6°C and lows around 15.1°C June is warm with an average temperature of 22.2°C, highs around 30.2°C and lows around 15.3°C July is mild with an average temperature of 20.7°C, highs around 28.2°C and lows around 14.4°C August is mild with an average temperature of 20.6°C, highs around 27.9°C and lows around 14.4°C September is mild with an average temperature of 19.9°C, highs around 27.2°C and lows around 13.9°C October is mild with an average temperature of 19.0°C, highs around 26.2°C and lows around 12.6°C November is mild with an average temperature of 17.7°C, highs around 25.5°C and lows around 10.7°C December is cool with an average temperature of 14.9°C, highs around 22.1°C and lows around 9.2°C","Guanajuato is a travel destination in Mexico. It is located in the north_america region. Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement. It is especially associated with culture, cuisine, urban. This destination has a generally mild to warm climate with moderate seasonal variation. The annual average temperature is 19.5°C, with monthly averages ranging from 14.9°C to 23.3°C. January is mild with an average temperature of 15.5°C, highs around 22.8°C and lows around 8.7°C February is mild with an average temperature of 17.2°C, highs around 25.6°C and lows around 9.5°C March is mild with an average temperature of 20.3°C, highs around 29.3°C and lows around 12.2°C April is warm with an average temperature of 23.1°C, highs around 31.8°C and lows around 13.1°C May is warm with an average temperature of 23.3°C, highs around 31.6°C and lows around 15.1°C June is warm with an average temperature of 22.2°C, highs around 30.2°C and lows around 15.3°C July is mild with an average temperature of 20.7°C, highs around 28.2°C and lows around 14.4°C August is mild with an average temperature of 20.6°C, highs around 27.9°C and lows around 14.4°C September is mild with an average temperature of 19.9°C, highs around 27.2°C and lows around 13.9°C October is mild with an average temperature of 19.0°C, highs around 26.2°C and lows around 12.6°C November is mild with an average temperature of 17.7°C, highs around 25.5°C and lows around 10.7°C December is cool with an average temperature of 14.9°C, highs around 22.1°C and lows around 9.2°C"
e1ebc1b6-8798-422d-847a-22016faff3fd,Surabaya,Indonesia,asia,-7.2459717,112.7378266,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery.",28.8,29.8,27.8,2.0,consistently warm to hot climate,little seasonal variation,"January, February, March, April, May, June",,,Budget,4,3,3,2,3,4,3,4,2,"culture, cuisine, urban","This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 28.8°C, with monthly averages ranging from 27.8°C to 29.8°C. January is hot with an average temperature of 28.1°C, highs around 32.5°C and lows around 25.5°C February is warm with an average temperature of 27.8°C, highs around 32.4°C and lows around 25.5°C March is hot with an average temperature of 28.3°C, highs around 32.8°C and lows around 25.8°C April is hot with an average temperature of 29.0°C, highs around 33.2°C and lows around 26.2°C May is hot with an average temperature of 29.3°C, highs around 33.7°C and lows around 26.2°C June is hot with an average temperature of 28.7°C, highs around 33.1°C and lows around 25.4°C July is hot with an average temperature of 28.2°C, highs around 33.1°C and lows around 24.6°C August is hot with an average temperature of 28.4°C, highs around 33.2°C and lows around 24.7°C September is hot with an average temperature of 29.2°C, highs around 34.4°C and lows around 25.4°C October is hot with an average temperature of 29.8°C, highs around 35.1°C and lows around 26.2°C November is hot with an average temperature of 29.6°C, highs around 34.0°C and lows around 26.4°C December is hot with an average temperature of 28.7°C, highs around 33.2°C and lows around 25.8°C","Surabaya is a travel destination in Indonesia. It is located in the asia region. Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery. It is especially associated with culture, cuisine, urban. This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 28.8°C, with monthly averages ranging from 27.8°C to 29.8°C. January is hot with an average temperature of 28.1°C, highs around 32.5°C and lows around 25.5°C February is warm with an average temperature of 27.8°C, highs around 32.4°C and lows around 25.5°C March is hot with an average temperature of 28.3°C, highs around 32.8°C and lows around 25.8°C April is hot with an average temperature of 29.0°C, highs around 33.2°C and lows around 26.2°C May is hot with an average temperature of 29.3°C, highs around 33.7°C and lows around 26.2°C June is hot with an average temperature of 28.7°C, highs around 33.1°C and lows around 25.4°C July is hot with an average temperature of 28.2°C, highs around 33.1°C and lows around 24.6°C August is hot with an average temperature of 28.4°C, highs around 33.2°C and lows around 24.7°C September is hot with an average temperature of 29.2°C, highs around 34.4°C and lows around 25.4°C October is hot with an average temperature of 29.8°C, highs around 35.1°C and lows around 26.2°C November is hot with an average temperature of 29.6°C, highs around 34.0°C and lows around 26.4°C December is hot with an average temperature of 28.7°C, highs around 33.2°C and lows around 25.8°C"
26bd92cc-1bd7-46bc-a132-9c227115194a,Nuuk,Greenland,north_america,64.1766835,-51.7359356,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm.",-0.6,7.9,-8.9,16.8,cold climate,moderate seasonal variation,,,"January, February, March, April, May, June",Luxury,3,4,5,2,2,3,2,2,5,"adventure, nature, seclusion","This destination has a cold climate with moderate seasonal variation. The annual average temperature is -0.6°C, with monthly averages ranging from -8.9°C to 7.9°C. January is freezing with an average temperature of -7.0°C, highs around -5.0°C and lows around -9.0°C February is freezing with an average temperature of -8.9°C, highs around -6.3°C and lows around -11.0°C March is freezing with an average temperature of -6.8°C, highs around -4.7°C and lows around -9.0°C April is freezing with an average temperature of -1.7°C, highs around 0.2°C and lows around -4.3°C May is very cold with an average temperature of 1.0°C, highs around 3.3°C and lows around -1.6°C June is very cold with an average temperature of 5.0°C, highs around 7.6°C and lows around 1.6°C July is very cold with an average temperature of 7.9°C, highs around 10.8°C and lows around 4.4°C August is very cold with an average temperature of 7.4°C, highs around 10.0°C and lows around 4.6°C September is very cold with an average temperature of 4.3°C, highs around 6.4°C and lows around 2.2°C October is very cold with an average temperature of 0.1°C, highs around 2.1°C and lows around -1.5°C November is freezing with an average temperature of -3.2°C, highs around -1.0°C and lows around -4.5°C December is freezing with an average temperature of -4.9°C, highs around -2.6°C and lows around -6.5°C","Nuuk is a travel destination in Greenland. It is located in the north_america region. Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm. It is especially associated with adventure, nature, seclusion. This destination has a cold climate with moderate seasonal variation. The annual average temperature is -0.6°C, with monthly averages ranging from -8.9°C to 7.9°C. January is freezing with an average temperature of -7.0°C, highs around -5.0°C and lows around -9.0°C February is freezing with an average temperature of -8.9°C, highs around -6.3°C and lows around -11.0°C March is freezing with an average temperature of -6.8°C, highs around -4.7°C and lows around -9.0°C April is freezing with an average temperature of -1.7°C, highs around 0.2°C and lows around -4.3°C May is very cold with an average temperature of 1.0°C, highs around 3.3°C and lows around -1.6°C June is very cold with an average temperature of 5.0°C, highs around 7.6°C and lows around 1.6°C July is very cold with an average temperature of 7.9°C, highs around 10.8°C and lows around 4.4°C August is very cold with an average temperature of 7.4°C, highs around 10.0°C and lows around 4.6°C September is very cold with an average temperature of 4.3°C, highs around 6.4°C and lows around 2.2°C October is very cold with an average temperature of 0.1°C, highs around 2.1°C and lows around -1.5°C November is freezing with an average temperature of -3.2°C, highs around -1.0°C and lows around -4.5°C December is freezing with an average temperature of -4.9°C, highs around -2.6°C and lows around -6.5°C"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,Windhoek,Namibia,africa,-22.53356015,17.045477525861745,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop.",21.0,24.9,14.8,10.1,generally mild to warm climate,moderate seasonal variation,"January, February, March, October, November, December",June,,Mid-range,3,4,4,1,3,3,3,3,4,"adventure, nature, seclusion","This destination has a generally mild to warm climate with moderate seasonal variation. The annual average temperature is 21.0°C, with monthly averages ranging from 14.8°C to 24.9°C. January is warm with an average temperature of 23.9°C, highs around 32.3°C and lows around 17.8°C February is warm with an average temperature of 23.7°C, highs around 32.0°C and lows around 17.6°C March is warm with an average temperature of 22.5°C, highs around 30.8°C and lows around 16.6°C April is mild with an average temperature of 20.5°C, highs around 28.7°C and lows around 14.1°C May is mild with an average temperature of 18.3°C, highs around 26.5°C and lows around 11.6°C June is cool with an average temperature of 14.8°C, highs around 22.7°C and lows around 7.5°C July is mild with an average temperature of 15.0°C, highs around 23.7°C and lows around 8.0°C August is mild with an average temperature of 17.9°C, highs around 26.2°C and lows around 10.5°C September is mild with an average temperature of 21.8°C, highs around 29.8°C and lows around 13.8°C October is warm with an average temperature of 24.3°C, highs around 32.1°C and lows around 17.0°C November is warm with an average temperature of 24.9°C, highs around 33.0°C and lows around 17.7°C December is warm with an average temperature of 24.6°C, highs around 32.5°C and lows around 18.1°C","Windhoek is a travel destination in Namibia. It is located in the africa region. A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop. It is especially associated with adventure, nature, seclusion. This destination has a generally mild to warm climate with moderate seasonal variation. The annual average temperature is 21.0°C, with monthly averages ranging from 14.8°C to 24.9°C. January is warm with an average temperature of 23.9°C, highs around 32.3°C and lows around 17.8°C February is warm with an average temperature of 23.7°C, highs around 32.0°C and lows around 17.6°C March is warm with an average temperature of 22.5°C, highs around 30.8°C and lows around 16.6°C April is mild with an average temperature of 20.5°C, highs around 28.7°C and lows around 14.1°C May is mild with an average temperature of 18.3°C, highs around 26.5°C and lows around 11.6°C June is cool with an average temperature of 14.8°C, highs around 22.7°C and lows around 7.5°C July is mild with an average temperature of 15.0°C, highs around 23.7°C and lows around 8.0°C August is mild with an average temperature of 17.9°C, highs around 26.2°C and lows around 10.5°C September is mild with an average temperature of 21.8°C, highs around 29.8°C and lows around 13.8°C October is warm with an average temperature of 24.3°C, highs around 32.1°C and lows around 17.0°C November is warm with an average temperature of 24.9°C, highs around 33.0°C and lows around 17.7°C December is warm with an average temperature of 24.6°C, highs around 32.5°C and lows around 18.1°C"
0dae5759-947a-40c9-aaea-e2e647f1061e,Kingston,Jamaica,north_america,17.9712148,-76.7928128,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility.",28.4,29.8,26.8,3.0,consistently warm to hot climate,little seasonal variation,"January, February, March, April, May, June",,,Mid-range,4,3,3,3,4,4,3,3,2,"culture, nightlife, cuisine","This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 28.4°C, with monthly averages ranging from 26.8°C to 29.8°C. January is warm with an average temperature of 27.0°C, highs around 31.2°C and lows around 22.3°C February is warm with an average temperature of 26.8°C, highs around 31.1°C and lows around 22.0°C March is warm with an average temperature of 27.3°C, highs around 31.1°C and lows around 22.6°C April is warm with an average temperature of 27.9°C, highs around 31.6°C and lows around 23.6°C May is hot with an average temperature of 28.7°C, highs around 32.1°C and lows around 24.5°C June is hot with an average temperature of 29.5°C, highs around 32.9°C and lows around 25.4°C July is hot with an average temperature of 29.8°C, highs around 33.4°C and lows around 25.5°C August is hot with an average temperature of 29.8°C, highs around 33.4°C and lows around 25.6°C September is hot with an average temperature of 29.6°C, highs around 33.3°C and lows around 25.3°C October is hot with an average temperature of 28.8°C, highs around 32.7°C and lows around 24.6°C November is hot with an average temperature of 28.0°C, highs around 32.1°C and lows around 23.7°C December is warm with an average temperature of 27.6°C, highs around 31.7°C and lows around 22.9°C","Kingston is a travel destination in Jamaica. It is located in the north_america region. Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility. It is especially associated with culture, nightlife, cuisine. This destination has a consistently warm to hot climate with little seasonal variation. The annual average temperature is 28.4°C, with monthly averages ranging from 26.8°C to 29.8°C. January is warm with an average temperature of 27.0°C, highs around 31.2°C and lows around 22.3°C February is warm with an average temperature of 26.8°C, highs around 31.1°C and lows around 22.0°C March is warm with an average temperature of 27.3°C, highs around 31.1°C and lows around 22.6°C April is warm with an average temperature of 27.9°C, highs around 31.6°C and lows around 23.6°C May is hot with an average temperature of 28.7°C, highs around 32.1°C and lows around 24.5°C June is hot with an average temperature of 29.5°C, highs around 32.9°C and lows around 25.4°C July is hot with an average temperature of 29.8°C, highs around 33.4°C and lows around 25.5°C August is hot with an average temperature of 29.8°C, highs around 33.4°C and lows around 25.6°C September is hot with an average temperature of 29.6°C, highs around 33.3°C and lows around 25.3°C October is hot with an average temperature of 28.8°C, highs around 32.7°C and lows around 24.6°C November is hot with an average temperature of 28.0°C, highs around 32.1°C and lows around 23.7°C December is warm with an average temperature of 27.6°C, highs around 31.7°C and lows around 22.9°C"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,Nafplio,Greece,europe,37.5659229,22.8068782,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.",17.6,28.3,8.0,20.3,generally mild to warm climate,strong seasonal variation,"June, July, August, September","January, February, March, November, December",,Mid-range,4,3,4,3,3,4,3,3,4,"culture, nature, cuisine, seclusion","This destination has a generally mild to warm climate with strong seasonal variation. The annual average temperature is 17.6°C, with monthly averages ranging from 8.0°C to 28.3°C. January is cool with an average temperature of 8.0°C, highs around 11.7°C and lows around 4.5°C February is cool with an average temperature of 8.7°C, highs around 12.9°C and lows around 4.9°C March is cool with an average temperature of 11.4°C, highs around 16.4°C and lows around 6.6°C April is mild with an average temperature of 15.2°C, highs around 20.4°C and lows around 9.7°C May is mild with an average temperature of 20.3°C, highs around 25.8°C and lows around 14.3°C June is warm with an average temperature of 25.5°C, highs around 31.0°C and lows around 19.1°C July is hot with an average temperature of 28.3°C, highs around 33.7°C and lows around 22.0°C August is warm with an average temperature of 27.9°C, highs around 33.2°C and lows around 22.1°C September is warm with an average temperature of 23.6°C, highs around 28.4°C and lows around 18.9°C October is mild with an average temperature of 18.5°C, highs around 22.7°C and lows around 14.5°C November is cool with an average temperature of 13.7°C, highs around 17.6°C and lows around 10.2°C December is cool with an average temperature of 9.5°C, highs around 13.0°C and lows around 6.2°C","Nafplio is a travel destination in Greece. It is located in the europe region. Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation. It is especially associated with culture, nature, cuisine, seclusion. This destination has a generally mild to warm climate with strong seasonal variation. The annual average temperature is 17.6°C, with monthly averages ranging from 8.0°C to 28.3°C. January is cool with an average temperature of 8.0°C, highs around 11.7°C and lows around 4.5°C February is cool with an average temperature of 8.7°C, highs around 12.9°C and lows around 4.9°C March is cool with an average temperature of 11.4°C, highs around 16.4°C and lows around 6.6°C April is mild with an average temperature of 15.2°C, highs around 20.4°C and lows around 9.7°C May is mild with an average temperature of 20.3°C, highs around 25.8°C and lows around 14.3°C June is warm with an average temperature of 25.5°C, highs around 31.0°C and lows around 19.1°C July is hot with an average temperature of 28.3°C, highs around 33.7°C and lows around 22.0°C August is warm with an average temperature of 27.9°C, highs around 33.2°C and lows around 22.1°C September is warm with an average temperature of 23.6°C, highs around 28.4°C and lows around 18.9°C October is mild with an average temperature of 18.5°C, highs around 22.7°C and lows around 14.5°C November is cool with an average temperature of 13.7°C, highs around 17.6°C and lows around 10.2°C December is cool with an average temperature of 9.5°C, highs around 13.0°C and lows around 6.2°C"
b78d096a-87d0-4010-baac-e4879cab6aa9,Tbilisi,Georgia,asia,41.6934591,44.8014495,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm.",14.5,26.0,3.5,22.5,cool to mild climate,strong seasonal variation,"June, July, August","March, April, October, November","January, February, December",Budget,4,3,3,1,3,4,3,3,3,"culture, cuisine","This destination has a cool to mild climate with strong seasonal variation. The annual average temperature is 14.5°C, with monthly averages ranging from 3.5°C to 26.0°C. January is very cold with an average temperature of 3.5°C, highs around 8.1°C and lows around 0.3°C February is very cold with an average temperature of 5.1°C, highs around 9.6°C and lows around 1.5°C March is cool with an average temperature of 8.7°C, highs around 14.0°C and lows around 4.0°C April is cool with an average temperature of 13.9°C, highs around 19.6°C and lows around 9.2°C May is mild with an average temperature of 18.1°C, highs around 23.7°C and lows around 12.9°C June is warm with an average temperature of 23.6°C, highs around 30.0°C and lows around 18.5°C July is warm with an average temperature of 25.8°C, highs around 31.9°C and lows around 20.6°C August is warm with an average temperature of 26.0°C, highs around 32.7°C and lows around 19.5°C September is mild with an average temperature of 21.0°C, highs around 27.2°C and lows around 15.6°C October is cool with an average temperature of 14.8°C, highs around 20.6°C and lows around 10.8°C November is cool with an average temperature of 8.9°C, highs around 14.0°C and lows around 5.2°C December is very cold with an average temperature of 4.5°C, highs around 8.8°C and lows around 1.3°C","Tbilisi is a travel destination in Georgia. It is located in the asia region. Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm. It is especially associated with culture, cuisine. This destination has a cool to mild climate with strong seasonal variation. The annual average temperature is 14.5°C, with monthly averages ranging from 3.5°C to 26.0°C. January is very cold with an average temperature of 3.5°C, highs around 8.1°C and lows around 0.3°C February is very cold with an average temperature of 5.1°C, highs around 9.6°C and lows around 1.5°C March is cool with an average temperature of 8.7°C, highs around 14.0°C and lows around 4.0°C April is cool with an average temperature of 13.9°C, highs around 19.6°C and lows around 9.2°C May is mild with an average temperature of 18.1°C, highs around 23.7°C and lows around 12.9°C June is warm with an average temperature of 23.6°C, highs around 30.0°C and lows around 18.5°C July is warm with an average temperature of 25.8°C, highs around 31.9°C and lows around 20.6°C August is warm with an average temperature of 26.0°C, highs around 32.7°C and lows around 19.5°C September is mild with an average temperature of 21.0°C, highs around 27.2°C and lows around 15.6°C October is cool with an average temperature of 14.8°C, highs around 20.6°C and lows around 10.8°C November is cool with an average temperature of 8.9°C, highs around 14.0°C and lows around 5.2°C December is very cold with an average temperature of 4.5°C, highs around 8.8°C and lows around 1.3°C"
